data,mean,temp_arg,temp_arg_max,temp_arg_min
2020-05-01,11726.041666666666,14.7,19.6,9.8
2020-05-02,12322.25,12.7,16.93333333,8.466666667
2020-05-03,11483.250000000002,16.2,21.6,10.8
2020-05-04,13317.416666666664,13.7,18.26666667,9.133333333
2020-05-05,13904.625000000002,13.3,17.73333333,8.866666667
2020-05-06,14717.125,10.9,14.53333333,7.266666667
2020-05-07,14865.875,12.4,16.53333333,8.266666667
2020-05-08,14666.333333333336,13.4,17.86666667,8.933333333
2020-05-09,13272.916666666668,16.3,21.73333333,10.866666670000003
2020-05-10,12635.666666666668,19.6,26.13333333,13.066666670000002
2020-05-11,14407.708333333334,15.3,20.4,10.2
2020-05-12,14160.291666666664,11.0,14.66666667,7.333333333
2020-05-13,14659.916666666668,11.5,15.33333333,7.666666667
2020-05-14,15311.166666666666,8.0,10.66666667,5.333333333
2020-05-15,14690.291666666666,15.1,20.13333333,10.06666667
2020-05-16,13129.083333333334,20.6,27.46666667,13.73333333
2020-05-17,12222.583333333332,18.7,24.93333333,12.466666670000002
2020-05-18,13608.958333333334,17.7,23.6,11.8
2020-05-19,13849.291666666664,20.1,26.8,13.4
2020-05-20,13771.791666666666,18.4,24.53333333,12.26666667
2020-05-21,14462.124999999996,14.3,19.06666667,9.533333333
2020-05-22,14840.20833333333,12.4,16.53333333,8.266666667
2020-05-23,14321.916666666666,10.9,14.53333333,7.266666667
2020-05-24,12881.791666666666,11.8,15.73333333,7.866666667
2020-05-25,13756.0,14.0,18.66666667,9.333333333
2020-05-26,14748.416666666668,11.7,15.6,7.8
2020-05-27,14636.624999999996,15.1,20.13333333,10.06666667
2020-05-28,14933.458333333336,15.2,20.26666667,10.13333333
2020-05-29,14609.33333333333,13.9,18.53333333,9.266666667
2020-05-30,13852.291666666664,11.5,15.33333333,7.666666667
2020-05-31,14467.541666666668,9.6,12.8,6.4
2020-06-01,16381.875000000002,7.8,10.4,5.2
2020-06-02,16267.541666666668,6.7,8.933333333,4.466666667
2020-06-03,16857.416666666668,10.9,14.53333333,7.266666667
2020-06-04,16153.08333333333,9.0,12.0,6.0
2020-06-05,16584.125000000004,10.2,13.6,6.8
2020-06-06,15744.833333333334,15.7,20.93333333,10.466666670000002
2020-06-07,14190.333333333332,14.6,19.46666667,9.733333333
2020-06-08,15308.000000000002,12.6,16.8,8.4
2020-06-09,15287.25,9.6,12.8,6.4
2020-06-10,15669.208333333336,11.0,14.66666667,7.333333333
2020-06-11,15417.625000000004,10.1,13.46666667,6.733333333
2020-06-12,15973.458333333336,13.6,18.13333333,9.066666667
2020-06-13,15331.625,7.6,10.133333330000001,5.066666667
2020-06-14,15010.083333333332,5.9,7.866666667,3.933333333
2020-06-15,15228.666666666664,11.0,14.66666667,7.333333333
2020-06-16,15964.666666666666,18.2,24.26666667,12.13333333
2020-06-17,15354.416666666666,22.6,30.13333333,15.06666667
2020-06-18,14881.33333333333,14.9,19.86666667,9.933333332999998
2020-06-19,14975.0,11.4,15.2,7.6
2020-06-20,14594.95833333333,9.9,13.2,6.6
2020-06-21,13639.499999999998,13.2,17.6,8.8
2020-06-22,15906.16666666667,10.7,14.266666669999998,7.133333333
2020-06-23,16710.375000000004,12.7,16.93333333,8.466666667
2020-06-24,16869.791666666664,11.5,15.33333333,7.666666667
2020-06-25,17398.875,7.9,10.53333333,5.266666667
2020-06-26,17407.416666666664,6.7,8.933333333,4.466666667
2020-06-27,16580.583333333336,7.9,10.53333333,5.266666667
2020-06-28,15499.458333333334,6.1,8.133333333,4.066666667
2020-06-29,17272.25,9.6,12.8,6.4
2020-06-30,18134.124999999996,10.8,14.4,7.2
2020-07-01,18159.375000000004,6.8,9.066666667,4.533333333
2020-07-02,18341.958333333332,7.1,9.466666667,4.733333333
2020-07-03,18103.708333333336,10.3,13.733333330000002,6.866666667
2020-07-04,16518.166666666668,11.4,15.2,7.6
2020-07-05,15657.0,8.4,11.2,5.6
2020-07-06,17557.541666666664,5.0,6.666666667,3.333333333
2020-07-07,18676.91666666666,5.3,7.066666667,3.5333333329999994
2020-07-08,18757.458333333336,6.7,8.933333333,4.466666667
2020-07-09,16581.916666666668,8.8,11.733333330000002,5.866666667
2020-07-10,16975.958333333336,10.5,14.0,7.0
2020-07-11,16650.874999999996,8.3,11.06666667,5.533333333
2020-07-12,15389.583333333334,8.8,11.733333330000002,5.866666667
2020-07-13,18383.958333333332,7.3,9.733333333,4.866666667
2020-07-14,18305.625000000004,4.6,6.133333333,3.066666667
2020-07-15,18383.166666666668,7.4,9.866666667,4.933333333
2020-07-16,18024.333333333336,9.6,12.8,6.4
2020-07-17,17643.958333333332,10.6,14.13333333,7.066666667
2020-07-18,15335.124999999996,13.7,18.26666667,9.133333333
2020-07-19,14168.125000000002,16.3,21.73333333,10.86666667
2020-07-20,15877.041666666668,14.8,19.73333333,9.866666667
2020-07-21,15780.083333333332,13.2,17.6,8.8
2020-07-22,16952.874999999996,12.8,17.06666667,8.533333333
2020-07-23,17112.75,12.2,16.26666667,8.133333333
2020-07-24,17999.5,7.4,9.866666667,4.933333333
2020-07-25,16780.625,6.5,8.666666667,4.333333333
2020-07-26,15731.875000000002,11.8,15.733333330000002,7.866666667
2020-07-27,17884.5,9.1,12.13333333,6.066666667
2020-07-28,18626.75,4.9,6.533333333,3.266666667
2020-07-29,18688.458333333332,6.2,8.266666667,4.133333333
2020-07-30,17520.083333333332,9.0,12.0,6.0
2020-07-31,17520.083333333332,10.8,14.4,7.2
2020-08-01,15122.874999999996,11.4,15.2,7.6
2020-08-02,13574.166666666666,18.3,24.4,12.2
2020-08-03,14258.208333333334,16.6,22.13333333,11.066666670000002
2020-08-04,14457.791666666668,19.800000000000004,26.4,13.2
2020-08-05,14172.666666666666,21.8,29.06666667,14.533333329999998
2020-08-06,14877.583333333334,13.599999999999998,18.13333333,9.066666667
2020-08-07,14876.125,10.400000000000002,13.86666667,6.933333333000001
2020-08-08,14638.375000000004,14.1,18.8,9.4
2020-08-09,12469.083333333332,13.3,17.73333333,8.866666667
2020-08-10,15377.125,13.5,18.0,9.0
2020-08-11,16723.166666666664,7.3,9.733333333,4.866666667
2020-08-12,16974.875,8.4,11.2,5.6
2020-08-13,16494.499999999996,11.7,15.599999999999998,7.799999999999999
2020-08-14,16673.958333333332,13.4,17.86666667,8.933333333
2020-08-15,14781.625,9.6,12.8,6.4
2020-08-16,13911.374999999998,10.6,14.133333329999997,7.066666667
2020-08-17,14809.625,11.1,14.8,7.4
2020-08-18,15908.125000000004,12.6,16.8,8.4
2020-08-19,17300.750000000004,6.6,8.8,4.4
2020-08-20,17573.833333333336,5.6,7.466666667,3.7333333330000005
2020-08-21,17866.75,10.7,14.26666667,7.133333333
2020-08-22,15935.833333333338,12.2,16.26666667,8.133333333
2020-08-23,13145.124999999998,14.9,19.86666667,9.933333333
2020-08-24,15258.833333333336,18.2,24.26666667,12.133333329999997
2020-08-25,15165.250000000002,17.4,23.2,11.6
2020-08-26,14920.291666666662,16.8,22.4,11.2
2020-08-27,15020.458333333334,13.2,17.6,8.8
2020-08-28,15026.541666666666,13.3,17.73333333,8.866666667
2020-08-29,14744.291666666662,11.5,15.33333333,7.666666667
2020-08-30,14034.666666666664,6.9,9.2,4.6
